age,tenure_months,monthly_charges,num_services,promo_flag,churn
73,33,105.07,3,0,0
24,28,95.21,1,0,0
23,39,89.82,1,0,0
69,60,58.46,2,1,0
24,51,52.43,1,1,0
21,6,91.7,4,0,0
43,33,91.67,3,0,0
75,53,115.06,4,0,0
60,16,76.87,4,1,0
24,71,49.46,2,0,0
69,58,68.95,4,1,0
70,61,81.37,1,0,0
67,6,62.67,2,0,0
73,42,99.11,3,1,0
32,38,78.46,2,1,0
78,45,20.94,3,1,0
37,61,76.98,4,0,0
67,26,83.36,2,0,0
53,38,111.53,2,0,0
66,49,61.37,3,1,0
56,54,77.45,4,0,0
57,55,67.5,4,1,0
56,24,73.17,4,0,0
66,71,26.73,1,1,0
63,1,109.73,1,0,1
26,35,111.04,3,1,0
69,44,74.81,2,1,0
51,5,75.66,3,0,0
38,33,25.76,4,1,0
49,43,79.8,3,0,0
77,44,62.92,2,1,0
71,9,90.9,4,1,1
69,20,24.71,2,0,0
46,18,91.09,3,0,0
66,46,48.69,1,0,0
41,24,85.17,3,1,0
60,41,82.71,2,0,0
57,52,42.68,1,1,0
33,57,64.05,1,1,1
34,14,103.56,3,1,0
21,65,80.56,1,1,0
26,12,26.87,1,0,0
44,2,64.29,1,1,1
47,4,51.18,1,1,0
28,15,84.16,2,0,0
43,63,81.46,2,1,0
55,15,21.04,3,0,0
32,50,80.77,3,0,0
38,30,93.48,3,1,0
40,3,96.87,4,0,1
49,32,25.9,1,1,0
40,3,50.37,3,0,0
63,34,62.13,1,1,0
38,40,37.98,4,0,0
44,38,62.07,2,1,0
41,21,27.11,2,1,0
29,55,31.32,1,1,0
60,43,86.87,3,1,1
32,19,46.26,2,1,0
36,31,91.14,4,0,0
67,8,24.81,1,1,0
76,66,76.27,2,1,0
59,54,59.14,4,0,0
74,21,99.7,4,0,0
70,48,98.4,4,1,0
47,49,57.56,3,0,0
65,44,82.27,4,1,1
38,4,42.75,1,0,0
46,63,78.04,4,1,0
51,68,28.13,3,1,0
77,70,63.46,2,1,0
70,70,38.27,1,1,0
48,66,108.34,3,1,0
58,53,64.49,1,1,0
30,5,79.08,3,0,1
67,34,56.04,1,1,0
52,18,48.87,2,1,0
51,16,40.29,1,0,0
65,59,111.19,2,0,0
57,58,99.95,2,1,0
22,38,33.33,1,1,0
35,53,94.67,4,0,0
28,10,61.85,4,0,1
63,16,21.54,2,0,0
20,62,72.84,1,1,0
30,33,33.0,4,1,0
55,39,40.99,3,0,0
61,33,89.6,3,0,0
49,15,45.71,3,0,0
71,59,109.19,1,0,1
74,54,85.72,2,1,0
26,49,103.23,1,0,0
77,26,81.52,3,1,1
56,46,106.88,4,0,0
57,68,56.17,3,0,0
23,47,74.91,3,1,0
56,36,71.59,3,1,0
62,20,110.38,4,0,0
54,38,36.49,1,1,0
23,27,77.81,2,1,0
50,44,95.44,2,0,0
76,4,57.0,3,1,1
62,14,106.76,2,1,1
26,56,57.3,4,1,0
77,28,37.33,2,0,0
77,31,78.4,4,0,0
28,39,62.06,4,1,0
67,32,21.52,1,1,0
43,54,26.98,4,1,1
54,18,39.53,4,0,0
45,54,96.93,1,1,0
66,15,109.2,2,0,1
79,27,74.56,4,0,0
67,42,30.56,4,1,0
75,63,73.44,2,1,0
76,17,105.56,3,0,1
23,42,94.95,1,0,0
33,5,49.11,3,1,1
62,6,32.39,3,1,1
54,55,110.07,2,0,0
21,52,105.41,2,1,0
23,27,25.37,4,1,0
50,45,102.37,2,1,1
56,27,29.72,2,1,1
28,20,26.33,2,0,0
28,31,95.86,2,1,1
26,23,73.63,2,1,0
53,58,61.45,3,0,0
18,30,110.39,4,0,0
53,23,103.93,3,0,1
47,39,25.76,1,1,0
46,54,81.61,2,1,0
60,20,97.23,3,0,1
50,67,75.05,3,1,0
63,33,118.3,4,0,0
65,47,88.6,2,0,0
75,68,30.41,2,0,0
67,31,39.83,3,0,0
50,15,102.62,1,1,0
48,54,119.68,3,1,1
32,1,29.83,4,0,0
55,33,30.03,3,1,0
26,70,96.34,2,0,0
75,30,26.44,4,1,0
70,49,26.86,3,1,0
25,38,108.88,3,1,1
66,16,100.04,4,1,1
25,23,108.16,1,0,0
62,38,85.05,4,0,0
23,8,52.25,3,0,0
48,30,110.63,3,0,1
58,30,49.87,1,1,1
63,60,47.55,4,1,0
43,9,108.64,1,1,0
75,60,88.08,4,0,0
66,30,109.57,4,0,0
30,47,35.59,2,1,0
59,40,115.23,2,1,1
63,22,81.27,1,0,0
38,67,86.8,2,0,1
63,16,111.41,1,0,0
73,3,58.08,4,0,0
68,54,91.96,3,1,0
65,45,84.03,1,1,0
57,64,98.78,4,0,0
34,33,109.69,1,0,0
67,2,88.01,3,1,0
40,2,26.76,1,0,0
50,31,38.31,1,1,0
37,18,115.4,1,1,1
37,66,116.87,2,0,0
27,9,116.74,3,0,0
77,63,23.68,4,0,0
27,16,58.24,4,0,0
23,9,95.97,3,1,0
76,20,95.29,3,1,0
52,11,28.59,2,0,0
45,29,80.95,2,0,0
63,24,34.29,4,1,0
41,38,69.32,3,1,0
25,39,43.97,3,1,0
63,1,25.32,1,0,0
28,9,28.0,2,0,0
52,12,111.09,3,0,1
76,14,94.46,2,0,0
76,7,113.18,3,1,1
40,23,67.0,4,0,0
66,40,61.33,1,0,0
55,22,55.84,4,0,0
47,24,81.63,4,1,1
26,34,55.16,2,1,0
41,39,94.63,4,1,0
58,24,100.13,1,0,1
79,16,107.58,2,1,0
18,30,44.28,1,0,0
62,2,72.7,3,0,0
70,35,42.34,4,0,0
76,67,23.76,3,0,0
44,29,90.78,3,1,0
25,8,74.9,1,1,1
34,51,92.39,4,1,0
70,10,28.76,1,0,0
72,14,119.55,3,1,1
57,11,119.43,3,1,0
25,63,66.5,4,0,0
25,70,106.61,4,1,0
47,41,44.36,3,0,0
54,44,93.76,3,0,0
20,46,107.92,2,0,1
60,44,101.47,3,0,0
51,39,101.18,3,0,0
18,71,66.3,3,1,0
23,53,102.0,3,1,0
46,7,89.07,2,1,1
62,28,33.25,1,0,0
69,70,31.42,1,0,0
44,29,97.19,2,0,0
36,15,82.55,2,1,0
78,62,71.94,3,0,0
46,45,110.73,4,1,1
37,40,85.96,3,0,0
45,30,59.61,4,0,1
18,9,61.39,3,0,0
36,28,80.52,4,0,0
49,32,96.03,4,0,0
74,67,76.44,1,1,1
63,22,70.88,3,0,0
66,11,92.69,3,1,1
51,31,90.53,4,1,1
24,71,103.03,3,1,0
42,35,26.26,1,1,0
79,27,95.5,1,0,0
20,48,71.38,1,0,0
72,47,27.47,1,1,0
60,22,87.9,1,0,0
35,69,91.65,4,1,1
66,43,72.36,2,1,0
69,5,99.38,3,1,1
20,29,50.02,4,0,0
24,66,40.19,3,0,0
59,28,55.07,2,1,0
79,41,61.01,2,0,0
19,44,89.59,4,0,0
59,51,104.55,3,1,0
26,62,92.09,4,0,0
58,11,37.4,1,0,0
56,37,56.62,1,1,0
23,38,35.84,1,0,0
60,11,88.67,3,1,0
73,48,44.82,3,1,0
71,9,72.54,2,1,1
19,33,99.18,2,0,0
33,24,87.09,3,0,1
32,12,49.84,4,1,0
46,59,53.29,4,0,0
26,18,85.34,2,1,0
70,19,74.95,3,1,0
66,61,29.64,1,1,0
68,63,107.4,4,1,0
30,3,71.26,1,0,1
18,20,67.34,2,1,1
74,51,39.84,3,1,0
35,56,57.7,4,1,0
58,71,53.28,1,1,0
74,40,47.07,3,0,0
20,1,76.74,1,1,0
18,63,66.23,1,1,0
18,12,108.92,2,0,0
27,9,114.13,3,0,0
21,48,41.95,2,0,0
68,43,30.01,4,1,1
55,5,98.53,3,1,1
78,13,119.49,2,0,0
67,42,106.36,2,0,0
77,19,22.37,2,1,0
32,49,45.13,1,1,0
35,30,24.33,3,1,1
70,42,102.08,4,0,1
33,34,78.14,2,1,0
21,26,71.37,2,0,0
59,25,75.44,4,1,0
67,50,45.25,3,1,1
78,37,80.16,2,1,0
75,43,23.07,1,1,0
25,41,84.6,4,0,0
65,15,93.44,3,1,1
70,65,87.3,3,0,0
61,40,53.21,2,0,0
68,51,102.63,1,1,0
69,63,91.55,2,1,0
45,66,32.83,4,0,0
20,48,39.51,2,1,0
46,56,83.71,3,0,0
30,34,48.94,4,0,1
25,53,31.94,1,0,0
25,23,35.5,1,0,0
61,51,36.56,1,0,0
49,7,67.78,4,0,0
51,65,80.74,3,0,0
64,18,37.64,4,1,1
51,47,91.25,4,1,0
57,1,48.1,2,0,0
23,12,51.16,1,0,0
70,71,42.35,2,1,0
45,60,98.52,3,0,0
27,16,115.98,2,0,1
68,10,69.25,1,0,0
63,58,24.2,4,1,0
21,71,46.06,2,0,0
29,12,35.81,3,1,0
18,48,104.28,4,0,1
34,21,28.49,3,1,0
24,53,116.65,3,1,0
62,30,78.85,1,0,0
50,9,71.77,3,0,0
78,24,104.74,4,0,0
64,39,22.75,4,1,0
55,57,97.72,1,1,0
49,2,31.66,1,0,0
21,68,104.08,1,0,0
22,47,72.92,4,0,0
56,63,26.11,2,1,0
18,67,103.32,3,1,0
20,11,22.73,2,0,0
31,7,33.84,3,0,0
72,56,99.78,4,0,1
46,14,66.49,2,1,1
61,11,108.14,4,0,0
43,34,83.54,2,1,0
28,65,82.35,1,1,0
41,57,49.22,1,0,0
23,37,33.37,2,1,0
65,14,116.12,3,1,0
29,24,30.48,4,0,0
41,49,72.9,4,0,0
78,12,47.26,3,0,0
54,38,46.41,2,0,1
46,1,79.46,1,0,0
51,24,99.79,4,1,1
66,18,97.72,2,1,0
33,49,106.88,4,1,0
57,65,49.29,3,1,0
72,11,66.58,4,0,0
53,57,20.93,4,0,0
45,47,94.69,3,1,0
26,69,50.23,3,1,0
33,65,76.15,1,0,0
76,8,36.93,1,1,1
51,53,101.94,3,0,0
36,43,101.73,3,1,0
43,9,107.75,3,1,0
53,19,24.59,2,0,0
51,66,119.25,3,1,0
61,39,44.78,4,1,0
33,25,50.94,1,1,0
58,23,44.93,2,1,1
45,60,46.75,4,0,0
76,21,75.27,1,0,0
27,12,43.98,2,0,1
27,41,59.38,2,0,0
46,71,85.56,3,1,0
49,14,103.6,2,0,0
60,19,89.27,4,1,0
43,34,79.43,1,0,0
74,15,34.77,2,0,0
47,47,101.61,3,0,0
26,19,23.73,1,0,0
25,10,46.42,4,1,0
78,19,25.71,3,1,0
26,67,86.74,4,1,0
76,67,56.84,2,1,0
35,36,85.2,2,0,0
23,29,54.7,4,1,0
36,59,65.57,1,0,0
56,14,65.8,2,1,0
44,47,24.56,2,1,0
66,49,63.02,2,1,0
55,51,84.11,2,0,0
42,16,74.61,3,0,0
57,51,27.53,1,0,0
78,44,86.81,4,0,0
43,63,50.89,4,1,0
27,13,21.44,1,1,0
43,44,35.56,4,0,0
70,59,69.76,2,0,0
31,20,51.04,1,0,1
76,53,89.44,2,0,0
54,8,44.07,4,1,1
55,51,97.28,4,1,0
37,44,48.65,3,1,0
75,14,82.09,4,1,0
20,5,99.92,2,0,0
36,53,58.56,4,0,0
43,18,24.68,3,1,0
47,36,73.54,1,0,0
47,5,119.54,1,1,0
27,69,116.9,2,1,0
31,39,42.1,1,0,0
23,67,95.57,2,0,0
53,12,54.5,4,1,1
39,15,36.03,1,1,0
53,44,86.59,3,0,1
54,43,70.09,4,1,0
61,57,73.92,2,0,0
51,66,102.74,3,1,0
58,59,53.65,2,0,0
54,10,86.71,2,0,0
58,22,56.62,4,0,0
56,65,24.27,3,0,0
37,39,57.8,2,0,0
33,62,115.0,4,0,0
66,40,68.33,4,1,0
39,4,30.82,4,0,0
52,34,88.78,4,0,1
30,59,116.34,2,1,0
44,47,110.79,2,1,0
50,10,77.2,1,0,0
56,15,57.63,3,0,0
